text,airline_sentiment_new_score
aerolineas,0
ryanair,0
mira,0
precios,0
madrid,0
ale,0
gatwick,0
iberia,0
panda,0
inutiles,-1
redomados,0
viaje,0
semana,0
pasada,-1
san,0
francisco,0
sirvio,0
subir,0
categoria,0
plus,1
manana,0
maleta,0
extra,1
reclama,-1
billete,1
seguro,0
madre,1
mia,1
mana,0
gilipollas,0
dios,0
mio,1
hablando,1
asi,0
ingles,0
parece,0
azafatas,0
iberia,0
iberia,0
regala,1
smartphones,0
pasajeros,0
vuelo,0
chispa,0
revista,0
turismo,0
hoy,0
aeropuerto,0
ventana,0
nadie,0
sabia,1
vuelos,0
h,0
hacemos,0
alcanzable,0
inalcanzable,-1
ryanair,0
esperan,-1
renfe,0
iberia,0
suspender,0
todas,0
relaciones,0
transporte,0
cataluna,0
exceso,-1
malo,-1
menos,-1
viajar,0
holaeuropa,0
bienvenidos,1
quiero,1
disfrutar,1
ustedes,0
exper,0
pilotos,0
ryanair,0
alemania,0
haran,0
huelga,-1
viernes,0
primera,1
historia,0
aerolinea,0
via,0
hoy,0
cumplen,0
anos,1
primer,1
vuelo,0
via,0
aniversario,1
claro,1
ryanair,0
q,0
decian,0
q,0
iban,-1
pie,0
resulta,1
q,0
cia,0
q,0
asco,-1
tenia,0
hace,0
anos,1
hoy,0
siendo,0
smooth,0
haran,0
cambiar,-1
opinion,1
dhl,0
coge,-1
toro,0
tecnologia,0
cuernos,0
pues,0
vale,0
molt,0
be,0
pues,0
adios,-1
recibo,0
mail,0
resumen,0
tarjeta,0
cinco,0
horas,0
wifi,1
gracias,1
iberia,0
fijate,0
pasa,-1
ruta,0
aa,0
deja,-1
hacer,0
bcn,0
ocupacion,1
iberia,0
beneficiada,1
the,0
latest,0
australiner,0
diario,0
airbus,0
iberia,0
semanam,0
puto,-1
ryanair,0
vuelo,0
cancelan,-1
pare,0
mundo,0
bajo,-1
version,0
mejorada,0
viral,0
pasajero,0
ryanair,0
enfadado,-1
sale,1
puerta,0
emergencia,0
avion,0
cansado,-1
esperar,-1
intento,1
b,0
pueden,1
ayudarme,1
maleta,0
perdida,-1
iberia,0
favor,1
hacen,0
buscarla,0
telefono,0
reclamacion,-1
llega,1
primer,1
duelodemarcas,-1
marketingdirecto,0
ryanair,0
vs,0
easyjet,0
ganara,0
opcion,1
puede,1
hacer,0
mediante,0
tarjeta,0
credito,-1
debito,1
llamando,0
numero,0
facilitaron,1
doy,0
rt,0
parece,0
cuarta,0
exigan,0
rt,0
hacer,0
teneis,0
suerte,1
ser,1
unicos,1
practicamente,1
volais,0
melilla,0
maleta,0
llegado,1
dias,0
tarde,-1
grande,1
supergex,0
mejor,1
presentacion,0
visto,0
vuelos,0
realizada,0
hoy,0
ib,0
x,0
comandante,0
f,0
sanz,0
felicidades,1
hecho,1
solo,-1
hecho,1
pregunta,0
explicado,0
mensaje,0
asinomas,0
pilotos,0
amenazan,-1
nuevas,1
protestas,-1
ryanair,0
europa,0
resulta,1
dificil,0
creer,1
tipo,0
babia,0
respecto,1
diseno,0
cia,0
iberia,0
ejecutado,0
puente,0
aereo,0
am,0
aqui,0
seguimos,0
enganchados,1
finger,0
pueden,1
hacer,0
trabajo,0
vol,0
volado,0
cn,0
companiaexperiencia,0
unica,1
xasus,0
pasajerosse,0
l,0
recomiendo,1
xa,0
qtomen,0
note,0
empi,0
noviembre,0
envie,1
documentos,0
mail,0
confirme,1
recibidos,1
peor,-1
asunto,0
q,0
miente,-1
dia,0
dicen,0
q,0
llego,1
londres,0
q,0
todavia,0
madrid,0
crei,0
q,0
mas,1
confiables,1
representante,0
iberia,0
anuncia,1
llegada,1
nicaragua,0
reunion,0
representantes,0
gobierno,0
secto,0
viajar,0
ryanair,0
seria,-1
aerolinea,0
cualquiera,0
si,1
plastas,0
ventas,1
bordo,0
altavoz,1
taco,0
llego,1
santo,1
domingo,0
espero,-1
mas,1
hora,0
maletas,0
resulta,1
escala,0
primero,1
ano,1
london,0
si,1
siguen,0
mirando,0
historial,0
tambien,1
contacte,0
hace,0
meses,0
preguntando,0
robaron,-1
nunca,-1
contestarona,0
contrateis,0
dan,0
servicio,0
atencion,1
cliente,0
pesimo,-1
aqui,0
seguimos,0
seguimos,0
esperando,-1
va,0
manifestarse,0
alguien,0
hola,0
puedo,1
transportar,0
nutella,0
equipaje,0
viajo,0
iberia,0
gracias,1
hola,0
hacer,0
cin,0
app,0
manda,0
email,0
tarjeta,0
formato,0
wallet,0
pass,0
pass,0
book,0
par,0
aerolineaslowcost,0
estara,0
llegando,1
demasiado,-1
lejos,0
personal,0
tierra,0
ryanair,0
espana,0
convoca,1
huelga,-1
diciembre,0
podeis,1
creer,1
pago,-1
vuelo,0
iberia,0
sentarme,0
unico,1
asiento,0
roto,-1
impresionante,0
mierda,-1
puede,1
ser,1
veces,0
viajar,0
iberia,0
cojo,0
avion,0
tiempo,0
reserva,1
asiento,0
ll,0
creo,-1
dejaron,-1
queriendo,1
duenos,0
ryanair,0
metan,0
culo,-1
merecer,0
merecenme,0
da,0
iberia,0
expandira,1
verano,0
frecuencia,1
vuelos,0
puertorico,0
septiembre,0
inaugura,1
linea,0
aerea,0
madridbarcelona,0
felices,1
anos,1
volando,0
mas,1
chrome,0
ultimas,-1
versiones,0
firefox,0
safari,0
mac,0
web,0
principal,1
inicia,1
sesion,0
despues,1
si,1
responden,1
demandao,-1
level,0
peor,-1
porqueria,-1
iberia,0
hace,0
cargo,-1
hola,0
puedo,1
sumar,0
km,0
vuelos,0
iberia,0
pagina,0
permite,1
adresse,0
pendientes,0
puedo,1
viajar,0
vuelta,0
avisando,1
puedo,1
volar,0
ida,0
alguna,-1
solucion,1
genera,1
cero,-1
perjuicios,-1
gracias,1
asi,0
agradece,1
iberia,0
tripulantes,0
vuelen,0
dia,0
navidad,0
alejados,-1
familias,0
triste,-1
paquetito,0
ryanair,0
analizara,0
consell,0
ayudas,1
firmas,0
preve,-1
crecer,1
valencia,0
via,0
loginewses,0
iberia,0
lanza,1
nueva,1
ruta,0
managua,0
octubre,0
hola,0
iberia,0
justo,1
corte,-1
vuelos,0
barcelona,0
mmmm,-1
gracias,1
maravillosa,0
organizacion,1
media,0
hora,0
espera,-1
maletas,0
aqui,0
segu,0
comun,1
jamas,-1
elegir,1
iberia,0
viaje,0
verdad,1
sinverguenzas,-1
timadores,-1
caraduras,-1
gana,1
nadie,0
felicito,1
jose,0
facil,1
solucion,1
pagas,1
mas,1
vuela,0
compania,0
m,0
asi,0
proximidad,1
teclado,0
eh,0
si,1
animalistas,0
hariais,0
mas,1
rt,0
si,1
pasajeros,0
vuelo,0
hoy,0
comunican,0
dos,0
tarde,-1
opcion,1
volar,0
dia,0
manana,0
criticamos,-1
luego,-1
volamos,0
low,1
costdudo,0
piloto,0
tripulacion,0
si,1
si,1
verdad,1
megustavolar,0
megustavolariberia,0
pues,0
respuesta,0
lavais,0
manos,0
cliente,0
den,0
iberi,0
hecho,1
tres,0
veces,0
enviando,1
correo,0
direccion,0
indicada,1
oexvy,0
nunca,-1
obtuve,0
resp,0
pregunto,0
si,1
alguien,0
iberia,0
air,0
canada,0
estaran,0
buscando,-1
maleta,0
estaran,0
tranquilamente,0
preparandose,1
nochevieja,1
queria,1
saber,1
si,1
verdad,1
ib,0
hace,0
escala,0
sdq,0
llegar,1
ccs,0
compre,-1
vuelo,0
madrid,0
viernes,0
h,0
sale,1
ida,0
vuelta,0
llamen,0
cgt,0
cualquiera,0
veces,0
pasado,-1
incluso,1
reservar,1
agencia,0
logitravel,0
cancelaron,-1
viaje,0
podian,1
coger,-1
tarifa,0
dan,0
ideas,0
volaris,0
vivaaerobus,1
calafia,0
senores,0
intenten,1
entender,1
motivo,1
reclamacion,-1
emitir,0
respuestas,0
estandar,0
debo,0
pagar,1
ahora,1
ademas,1
sacado,0
movida,0
level,0
asi,0
igual,1
q,0
servicio,0
esencial,1
ahora,1
adelante,1
cualquier,0
paro,-1
sera,0
calificado,1
asi,0
acabo,-1
derec,0
espero,-1
resuelva,0
tema,0
cuanto,0
gracias,1
puedo,1
volver,1
asientos,0
gratis,1
parece,0
lleno,1
avion,0
ibamos,-1
coger,-1
est,0
holaargentina,0
quiero,1
viajar,0
tampoco,-1
cuenta,0
asignarte,0
asiento,0
preferencias,1
viajero,0
pues,0
momento,0
siguen,0
aparecer,1
articulos,0
necesito,-1
asi,0
si,1
manana,0
buscare,0
car,0
podium,0
podcast,0
iberia,0
alian,0
ficcion,-1
sonora,0
aerolinea,0
momentos,0
propio,0
montaje,0
jajajajaj,1
fraude,-1
denuncian,-1
ryanair,0
fraude,-1
ley,1
casa,0
dato,0
canteranos,0
pasaron,0
mal,-1
jugaron,0
cobresal,0
iberia,0
copa,0
chiledebe,0
venir,1
avios,0
cara,0
cemento,0
armado,0
ryanair,0
busca,-1
convertirse,1
amazon,0
viajes,0
oficinas,0
madrid,0
ryanair,0
inaugurado,0
parece,0
mal,-1
q,0
servicio,0
atencion,1
cliente,0
respeto,1
reclamaciones,-1
gestionando,0
tan,0
lent,0
call,0
center,0
atiende,0
nadie,0
canse,0
llamar,0
necesito,-1
q,0
contacten,0
conmigo,1
solucionar,1
problema,-1
primer,1
duelodemarcas,-1
ryanair,0
vs,0
easyjet,0
via,0
pues,0
reclame,-1
dano,0
equipaje,0
hicieron,1
caso,-1
rellenar,0
formula,0
dias,0
darte,1
respuesta,0
dinero,1
deberian,0
haberte,0
quitado,-1
cobrar,-1
hola,0
problema,-1
tecnicos,0
ocurre,0
retraso,-1
hora,0
stanstead,0
novio,0
llega,1
conexion,1
cansado,-1
esperar,-1
pasajero,0
sale,1
sienta,0
ala,0
avion,0
unas,0
galletas,0
palencia,0
acompanar,1
aguilardecampoo,0
estan,0
regalando,1
billetes,1
avion,0
pasa,-1
historias,0
intagram,0
billetes,1
ryanair,0
gente,0
obesa,0
hace,0
dieta,0
salvarse,1
vida,1
obviamente,1
haran,0
pasajeros,0
fin,1
semana,0
pasa,-1
aniversarioiberia,0
vuelo,0
asturias,0
madrid,0
dejan,-1
subir,0
equiaje,0
mano,0
viajeros,0
madrid,0
iberia,0
ocu,0
felizjueves,1
sinverguenzas,-1
toca,0
volar,0
ryanair,0
otgala,0
famoso,1
desastres,-1
servicioalcliente,0
caso,-1
hizo,-1
perder,-1
importante,1
conferencia,0
can,0
super,1
utile,0
ryanair,0
viaggiare,0
meetworld,0
despues,1
minutos,0
espera,-1
iberia,0
digan,0
soluciona,1
problema,-1
precio,0
si,1
super,1
puntual,1
quieres,1
envie,1
mensaje,0
directo,1
intentando,1
comprar,-1
billetes,1
llevo,1
horas,0
esperando,-1
respue,0
vuelo,0
madridlondres,0
gracias,1
feliz,1
ano,1
nuevo,1
iberia,0
acuerdo,1
debian,-1
tener,0
calculo,0
co,0
tarifa,0
low,1
cost,0
supuesto,0
funciona,1
tema,0
equipaje,0
perdido,-1
sorprende,1
prioridad,1
caso,-1
sirva,0
na,0
muchas,1
felicidades,1
seguir,0
volando,0
alto,-1
verguenza,-1
hacer,0
check,1
in,0
online,0
pais,0
destino,1
xq,0
web,0
funciona,1
gracias,1
x,0
corregir,-1
maravillosa,0
aventura,0
viajar,0
avion,0
bici,0
capitulo,0
sacar,0
ryanair,0
ofertas,1
vuelos,0
poner,1
nunca,-1
malaga,0
aeropuerto,0
salida,0
si,1
poblachos,-1
valladolid,0
vigo,0
risa,1
hola,0
cambiado,-1
fecha,0
billete,1
principio,1
problema,-1
nuevos,1
billetes,1
c,0
duda,-1
exceptuando,-1
personas,0
mayores,0
gente,0
hijos,0
pequenos,0
gente,0
paga,1
priority,1
ryanair,0
hablando,1
minutos,0
nuevo,1
espera,-1
siempre,0
viaje,0
iberiaahora,0
profundo,0
dolor,-1
puedo,1
viajar,0
espana,0
altos,-1
costos,0
pasajetragico,0
desamparo,-1
conseguire,1
hazana,1
volar,0
tenerife,0
sur,0
ryanair,0
encontrarme,1
nadie,0
vacilar,0
toda,0
pinta,0
ser,1
vueling,0
ayudanos,0
recuperar,1
equipaje,0
olvidaron,-1
madrid,0
dado,0
mayor,0
informacion,1
polemica,-1
servida,0
buen,1
dia,0
seguimos,0
esperando,-1
devuelvan,1
valija,0
perdieron,-1
sabado,0
vuelo,0
ib,0
recuerdos,1
viaje,0
podian,1
dar,0
comerciales,1
q,0
venden,0
distintos,-1
puntos,0
venta,1
iban,-1
vuelos,0
regulares,1
ejem,0
regulares,1
ejem,0
ryr,0
buena,1
aceptacion,1
po,0
iberia,0
va,0
ser,1
mismo,1
ano,1
viene,0
aviones,0
gastan,-1
combustible,0
stop,0
calefaccion,1
infierno,-1
ryanair,0
att,0
cliente,0
favor,1
eficacia,0
merci,0
pues,0
ryanair,0
parece,0
sigue,0
comprando,-1
aviones,0
ahora,1
nuevisimo,1
ademas,1
aqui,0
mostrador,0
nadie,0
ayude,1
pueda,1
dar,0
idea,0
q,0
q,0
tal,0
queria,1
saber,1
si,1
alcomprar,0
billete,1
clase,1
turista,0
luego,-1
puedo,1
pasarlo,0
bussines,0
entonces,0
espana,0
distancias,0
comenzaron,0
medirse,0
tiempo,0
kilometros,0
felicidades,1
estacionado,0
hace,0
casi,0
anos,1
barajas,0
md,0
ecfof,0
ex,0
iberia,0
volvera,0
volar,0
oficina,0
aeropuerto,0
madrid,0
barajas,0
algun,-1
horario,0
concreto,0
abierto,1
h,0
g,0
segun,0
director,1
general,0
toshiba,0
iberia,0
compania,0
terminara,0
ano,1
unidades,0
vendidas,0
pollo,0
alquilaste,0
iberia,0
murillo,0
puente,0
chicharrones,0
gente,0
podran,1
ayudar,1
puedo,1
hace,0
dias,0
comprar,-1
equip,0
escuchando,0
jimenez,0
losantos,0
entero,1
iberia,0
abre,1
nuevo,1
vuelo,0
madrids,0
francisco,0
perfecto,1
traer,0
cineastas,0
vanguardia,0
puede,1
reclamar,-1
retraso,-1
habia,1
pensado,0
ir,0
ventanilla,0
iberia,0
duiarv,0
felices,1
fiestas,1
equipo,0
iberia,0
manda,0
narices,0
obliguen,-1
meter,1
maleta,0
bodega,0
ahora,1
estan,0
subiendo,0
maletas,0
felizmartes,1
trae,0
madrid,0
gratis,1
pronto,1
fastidia,-1
alguien,0
ande,0
corrigiendo,0
bonito,1
hola,0
necesito,-1
ayuda,1
cambio,-1
fecha,0
pasaje,0
oye,-1
aerolinea,0
buenas,1
interjet,0
mexicana,0
extranjera,0
iberia,0
solo,-1
colombia,0
amenazas,-1
huelgas,-1
ryanair,0
expanden,0
europa,0
repario,0
debo,0
ir,0
east,0
or,0
west,0
aqui,0
aeropuerto,0
santiago,0
compostela,0
dentro,0
avion,0
sensor,0
q,0
falla,-1
poder,1
vol,0
juntado,0
oferta,1
alsa,0
ryanair,0
ahora,1
decidir,0
si,1
quiero,1
ir,0
madrid,0
resto,-1
mundo,0
hola,0
cambie,0
fechas,0
funciono,1
gracias,1
puesto,0
reclamaciones,-1
umwdl,0
vivav,1
vfzhw,0
devuelvan,1
dinero,1
asientos,0
ryanair,0
apuntala,0
rutas,0
reino,0
unido,1
brexit,0
licencia,0
politica,0
ibex,0
ultimahora,0
espero,-1
luego,-1
pobre,-1
pabloviajo,0
ryanair,0
ruta,0
nrt,0
pueden,1
ver,0
cosas,0
interesantes,0
ademas,1
soyuz,0
mismo,1
vuelo,0
emde,0
peerdieron,-1
valijas,0
pierden,-1
valijas,0
diarui,0
devuelven,1
cosa,0
puedas,1
disponer,0
plazas,0
juntas,1
falta,-1
espacio,0
distinta,-1
jacerlo,0
simplement,0
favor,1
dejad,-1
ofrecer,1
puente,0
aereo,0
servicio,0
lamentable,-1
asignan,0
asient,0
sevilla,0
ole,0
sms,0
solo,-1
confirmado,1
dos,0
entregas,1
si,1
llegadopero,0
mensaje,0
sindicatos,0
iberia,0
barcelona,0
mantienen,0
huelga,-1
jueves,0
domingo,0
hicieron,1
mismo,1
perdieron,-1
nueva,1
iberiao,0
hacer,0
hacer,0
campana,0
marketing,0
posicionar,0
marc,0
funciona,1
codigo,0
qr,0
imagenfotoporque,0
app,0
sale,1
dicho,0
codigo,0
solo,-1
llego,1
supuesto,0
habran,1
menos,-1
veintipico,0
dias,0
espera,-1
iberia,0
apuesta,-1
mercado,0
argentino,0
aviacionaldia,0
vuelos,0
espana,0
argentina,0
oye,-1
muchas,1
gracias,1
arruinar,-1
vacaciones,0
familia,0
vuelo,0
overbooked,-1
si,1
sabeis,1
organizar,0
conexion,1
vuelos,0
podriais,1
dedicaros,0
cosa,0
iberia,0
deja,-1
ponerme,1
publico,0
amiga,1
entiendes,0
veo,0
vuelos,0
internes,0
rayanair,0
tope,0
caros,-1
tia,0
todas,0
absurdo,-1
cuidar,0
clientes,0
tener,0
pequenos,0
grandes,1
detalles,1
algun,-1
error,-1
pagina,0
web,0
escribir,0
origen,0
destino,1
fechas,0
vuelve,0
cargar,-1
pagina,0
i,0
cuida,1
tripulacion,0
trendingnow,0
nycgo,0
visitspain,0
sorprendida,1
tanta,1
quejadera,-1
aerolineas,0
avianca,0
sido,0
sera,0
mej,0
pues,0
vaya,0
vuelos,0
criticos,-1
habra,1
evitar,-1
volarlos,0
entonces,0
asi,0
bajo,-1
pasajero,0
ryanair,0
harto,-1
esperar,-1
desembarcar,0
via,0
hipertextual,0
iberia,0
filial,0
vueling,0
q,0
excelente,1
experiencia,0
dos,0
viajes,0
europa,0
gracias,1
ryanair,0
hacerme,0
esperar,-1
dos,0
horas,0
mas,1
madre,1
mia,1
azafato,0
iberia,0
iberia,0
express,1
anade,0
palermo,0
mykonos,0
destinos,1
ryanair,0
cancele,-1
vuelo,0
milan,0
decir,0
nino,0
clase,1
desordenado,-1
quejan,-1
unico,1
cumplido,0
prom,0
muchas,1
gracias,1
viendo,0
problema,-1
cree,1
intocable,-1
evito,-1
ser,1
posible,1
elijo,0
tra,0
frio,-1
fuselaje,-1
airbus,0
comeflywithme,0
fly,0
flying,0
upintheair,0
iberia,0
iberiaexpress,0
esperando,-1
q,0
puto,-1
despegue,0
porte,0
debe,0
va,0
quedar,1
pie,0
puta,-1
madre,1
huelga,-1
ryanair,0
partir,1
diciembre,0
oye,-1
cuatro,0
meses,0
pisar,-1
casa,0
ver,0
vamos,1
viaje,0
roma,0
iberia,0
momento,0
colombia,0
sabeis,1
volar,0
montais,0
ryanair,0
solamente,0
viajado,0
sola,-1
vez,0
iberia,0
viaje,0
san,0
juan,0
puerto,0
rico,1
san,0
si,1
equipaje,0
mano,0
equipaje,0
mano,0
si,1
quiero,1
facturar,0
maleta,0
tener,0
esperar,-1
sarna,-1
gusto,1
pica,0
funcionado,1
vanish,0
viejo,0
noble,0
iberia,0
prueba,0
azafatas,0
tan,0
serviciales,0
teneis,0
ven,0
maleta,0
cabe,0
compartimento,0
maletas,0
qu,0
aytalento,0
lasubcontrata,-1
aitalento,0
ryanair,0
reconocera,1
sindicatos,0
pilotos,0
evitar,-1
huelgas,-1
navidad,0
vuelos,0
ib,0
dec,0
mad,0
muc,0
ib,0
jan,0
muc,0
mad,0
mas,1
sinceras,1
felicitaciones,1
comandante,0
eva,0
dominguez,0
flamante,1
equipaje,0
donado,0
equipo,0
llega,1
destruido,-1
ecuador,0
tristeza,-1
saber,1
geneticamente,0
pesima,-1
consiguieron,0
empeorarla,-1
engendro,-1
level,0
iberia,0
jurada,0
ciclista,0
ivan,0
cortina,0
pierde,-1
bici,0
luego,-1
rompe,0
triatlon,0
entrenamiento,0
black,0
friday,0
ryanair,0
miro,0
fechas,0
sitios,0
miro,0
calendario,0
examenes,0
lloro,-1
harta,-1
viajar,0
ryanair,0
harta,-1
entiende,1
todas,0
experiencias,0
volando,0
sido,0
ib,0
retraso,-1
horas,0
notificarme,0
llegar,1
aeropuerto,0
solucion,1
voucher,0
gracias,1
ser,1
pocos,-1
mantener,1
bestia,-1
aire,0
calvin,0
harris,0
volando,0
ryanair,0
menudo,1
raticate,0
sepla,0
entra,0
ryanair,0
busca,-1
convenio,1
low,1
cost,0
espana,0
via,0
amigos,1
menudos,1
impresentables,-1
despues,1
dia,0
volandovuelvo,0
casa,0
navidad,0
perdeis,-1
malet,0
hola,0
iberia,0
ayer,-1
compre,-1
vuelos,0
recibido,0
ningun,-1
correo,0
confirmacion,1
tan,0
solo,-1
correo,0
paypal,0
justificant,0
puede,1
ryanair,0
dejar,-1
hacerme,0
falsas,-1
ilusiones,1
poniendo,1
idas,0
seis,0
euros,0
vueltas,0
mas,1
cien,0
ok,0
mensaje,0
enviado,1
ultima,-1
hora,0
convocada,1
huelga,-1
personal,0
tierra,0
ryanair,0
proximo,1
diciembre,0
holaargentina,0
vamos,1
x,0
viaje,0
si,1
si,1
vamos,1
asientos,0
separados,-1
avion,0
ryanair,0
saca,0
rata,0
saben,1
q,0
q,0
hacer,0
oferta,1
trabajo,0
ryanair,0
cosa,0
q,0
esten,0
dispuest,0
hola,0
puede,1
ser,1
q,0
siempre,0
q,0
vamos,1
filas,0
delanteras,1
encontremos,0
hueco,-1
maleta,0
lleno,1
demas,0
remedienlo,0
atencion,1
viajeros,0
mio,1
encanta,1
volar,0
duerme,0
vuelo,0
aterrizar,1
gracias,1
inutilidad,0
volvere,1
facebook,0
tendre,0
instagram,0
mundo,0
sepa,0
inutiles,-1
oye,-1
domingo,0
cojo,0
avion,0
guardarme,1
alguno,-1
ahora,1
tio,0
vuelito,0
directo,1
angeles,1
iberia,0
cobran,-1
precio,0
semen,0
unicornio,0
pura,1
sangre,0
recordatorio,1
jamas,-1
voleis,0
iberia,0
posible,1
sen,0
web,0
actualmente,0
acepte,1
letra,0
n,0
tan,0
usual,0
espanol,0
siempre,0
ten,0
iberia,0
siempre,0
cumple,0
gracias,1
galgos,0
rescatados,0
viajaron,0
paises,0
iberia,0
bastante,1
comun,1
tambien,1
cambio,-1
directivos,0
ruiz,0
sustituira,0
partir,1
febrero,0
vera,0
buzanello,0
decidido,1
emprender,0
otr,0
mama,0
soporta,0
bunbury,0
